Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
09-Jun-22,14:15,212.12,0,0.00%,212.12,212.12,212.12,0
09-Jun-22,14:10,212.12,0,0.00%,212.12,212.12,212.12,0
09-Jun-22,14:05,212.12,-0.05,-0.02%,212.16,212.12,212.16,"49,000"
09-Jun-22,14:00,212.17,-0.11,-0.05%,212.28,212.11,212.29,"52,03,000"
09-Jun-22,13:55,212.28,0.12,0.06%,212.15,212.08,212.31,"64,08,000"
09-Jun-22,13:50,212.15,0.04,0.02%,212.11,212.08,212.22,"64,61,000"
09-Jun-22,13:45,212.11,-0.01,0.00%,212.12,212.01,212.13,"47,90,000"
09-Jun-22,13:40,212.12,0.02,0.01%,212.1,211.83,212.13,"50,48,000"
09-Jun-22,13:35,212.1,0.29,0.14%,211.81,211.81,212.12,"54,02,000"
09-Jun-22,13:30,211.81,-0.02,-0.01%,211.83,211.76,212,"26,97,000"
09-Jun-22,13:25,211.83,0.1,0.05%,211.74,211.71,211.93,"21,72,000"
09-Jun-22,13:20,211.72,-0.02,-0.01%,211.75,211.6,211.84,"29,41,000"
09-Jun-22,13:15,211.75,0.27,0.13%,211.48,211.46,211.75,"34,31,000"
09-Jun-22,13:10,211.48,0.16,0.08%,211.31,211.19,211.5,"26,91,000"
09-Jun-22,13:05,211.32,0.02,0.01%,211.3,211.24,211.41,"28,29,000"
09-Jun-22,13:00,211.29,0.23,0.11%,211.07,211.05,211.39,"24,31,000"
09-Jun-22,12:55,211.06,0.02,0.01%,211.05,211.02,211.14,"20,80,000"
09-Jun-22,12:50,211.05,0.07,0.03%,210.98,210.79,211.06,"19,13,000"
09-Jun-22,12:45,210.98,0.09,0.04%,210.89,210.87,211.08,"22,14,000"
09-Jun-22,12:40,210.89,0.11,0.05%,210.78,210.75,210.95,"17,89,000"
09-Jun-22,12:35,210.78,0.01,0.00%,210.77,210.71,210.96,"19,24,000"
09-Jun-22,12:30,210.77,0.09,0.04%,210.68,210.68,210.82,"17,98,000"
09-Jun-22,12:25,210.68,-0.1,-0.05%,210.78,210.65,210.84,"13,04,000"
09-Jun-22,12:20,210.78,0.12,0.06%,210.66,210.64,210.86,"15,32,000"
09-Jun-22,12:15,210.66,0.04,0.02%,210.62,210.6,210.72,"18,01,000"
